count_updated,Created_by_Created by 62,Doc_knowledge_False,count_reassign,support_incharge_Resolver 15,support_incharge_Resolver 244,Support_group_Group 14,Created_by_Created by 151,confirmation_check_False,impact
1,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
12,1.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
14,1.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
15,1.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
16,1.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
17,1.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
19,1.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1 - High
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1 - High
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1 - High
5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1 - High
6,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1 - High
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2 - Medium
6,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
13,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
14,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
15,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
17,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,1.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
1,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,3 - Low
2,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,3 - Low
4,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,3 - Low
7,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1 - High
4,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,1 - High
5,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,3 - Low
6,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,3 - Low
11,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,3 - Low
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,3 - Low
10,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,3 - Low
19,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,3 - Low
21,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3 - Low
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,1.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,1.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,1.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
10,1.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
11,1.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
12,1.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
14,1.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
21,1.0,0.0,7,0.0,0.0,0.0,0.0,1.0,2 - Medium
22,1.0,0.0,7,0.0,0.0,0.0,0.0,1.0,2 - Medium
23,1.0,0.0,7,0.0,0.0,0.0,0.0,1.0,2 - Medium
26,1.0,0.0,7,0.0,0.0,0.0,0.0,1.0,2 - Medium
28,1.0,0.0,7,0.0,0.0,0.0,0.0,1.0,2 - Medium
31,1.0,0.0,7,0.0,0.0,0.0,0.0,1.0,2 - Medium
34,1.0,0.0,7,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
10,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1 - High
3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1 - High
5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1 - High
6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1 - High
7,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1 - High
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
11,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
10,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
11,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
12,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
13,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
14,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
15,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
17,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
1,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,3 - Low
2,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,3 - Low
3,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,3 - Low
4,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,3 - Low
6,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,3 - Low
8,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,3 - Low
9,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,3 - Low
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
12,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
14,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
17,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
18,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
19,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
20,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
21,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
22,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
7,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
9,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
10,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
2,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
45,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
7,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
11,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
15,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
17,0.0,0.0,4,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
44,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
105,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
106,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
18,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
9,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,2 - Medium
6,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
17,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1 - High
3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1 - High
4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1 - High
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
8,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
14,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
2,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
4,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
5,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
7,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
8,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,3 - Low
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
19,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
28,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
33,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
13,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
14,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
3,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
1,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1 - High
6,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1 - High
0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,2 - Medium
